,loan_amnt,int_rate,annual_inc,loan_status,open_acc,open_il_12m,Charged_Off
2213822,40000,11.99,106400.0,Current,18.0,3.0,0
1224707,4800,11.53,60000.0,Fully Paid,18.0,,0
1466317,34250,17.09,80000.0,Current,18.0,0.0,0
747038,24000,9.75,92500.0,Current,11.0,1.0,0
2185399,32000,10.42,48000.0,Charged Off,9.0,1.0,0
347894,32000,6.07,70000.0,Current,9.0,2.0,0
48183,40000,10.33,150000.0,Current,8.0,2.0,0
719299,2200,19.53,82000.0,Charged Off,19.0,3.0,0
1466808,20000,7.21,73000.0,Current,11.0,0.0,0
938134,11200,18.99,33000.0,Charged Off,16.0,0.0,0
64009,15000,7.02,37848.0,Current,9.0,1.0,0
782340,27000,7.89,72500.0,Current,13.0,0.0,0
1557751,10000,7.97,35000.0,Fully Paid,12.0,0.0,0
1185116,12000,5.32,75000.0,Fully Paid,12.0,,0
1411290,5000,16.99,24000.0,Charged Off,6.0,0.0,0
1342310,5000,8.19,23000.0,Fully Paid,6.0,,0
801968,35000,19.48,90000.0,Charged Off,12.0,3.0,0
2146358,4000,11.99,13000.0,Current,8.0,0.0,0
2150850,10000,13.59,30000.0,Current,16.0,0.0,0
2160845,36000,14.08,44000.0,Current,12.0,1.0,0
685056,7325,15.31,25000.0,Fully Paid,10.0,2.0,0
1892008,2500,14.31,45000.0,Fully Paid,10.0,,0
1081650,16000,14.65,93000.0,Current,9.0,,0
1910952,10000,14.49,30000.0,Fully Paid,11.0,,0
2120548,4000,10.74,26400.0,Fully Paid,5.0,,0
1281720,5000,7.89,25000.0,Fully Paid,12.0,,0
486176,25000,5.32,204000.0,Current,19.0,1.0,0
739908,35000,9.75,140000.0,Fully Paid,10.0,0.0,0
793879,12000,13.44,72000.0,Fully Paid,14.0,2.0,0
118343,5000,7.84,120000.0,Current,28.0,0.0,0
1952468,12000,10.15,105000.0,Fully Paid,9.0,,0
538845,4850,19.99,27000.0,Current,10.0,1.0,0
853162,15000,13.99,75000.0,Late (31-120 days),7.0,0.0,0
1882213,28000,11.44,143000.0,Fully Paid,13.0,,0
1146517,16000,14.65,50000.0,Charged Off,12.0,,0
1662878,5000,13.99,95000.0,Current,5.0,0.0,0
235360,5000,6.11,55000.0,Current,11.0,0.0,0
420135,40000,7.96,100000.0,Current,30.0,0.0,0
2058695,12000,9.67,100000.0,Fully Paid,10.0,,0
646901,24000,10.75,60000.0,Current,8.0,0.0,0
1302956,23450,15.61,64000.0,Fully Paid,15.0,,0
226904,15000,16.91,95000.0,Current,8.0,0.0,0
553914,16800,11.49,67332.0,Fully Paid,9.0,0.0,0
873467,9000,16.99,45500.0,Fully Paid,11.0,1.0,0
1983471,24000,13.98,99000.0,Fully Paid,12.0,,0
1192810,30000,10.99,141000.0,Charged Off,9.0,,0
1047448,12225,18.55,34000.0,Fully Paid,4.0,,0
358734,35000,18.45,85000.0,Current,18.0,0.0,0
651704,5000,8.39,30000.0,Current,5.0,0.0,0
472216,5000,7.35,100000.0,Current,18.0,1.0,0
1628671,18000,13.99,80000.0,Late (31-120 days),13.0,0.0,0
1776265,10000,19.72,30000.0,Fully Paid,8.0,,0
695605,10000,15.31,32000.0,Current,14.0,2.0,0
1311651,12000,14.31,50000.0,Charged Off,24.0,,0
487835,15000,7.97,80500.0,Current,16.0,0.0,0
374266,12000,19.42,50000.0,Current,10.0,0.0,0
27494,15000,8.19,130000.0,Current,8.0,0.0,0
376703,40000,10.9,95000.0,Current,6.0,0.0,0
2096883,10000,17.57,118000.0,Fully Paid,8.0,,0
114679,25000,16.14,150000.0,Current,13.0,1.0,0
2119772,3800,7.29,13200.0,Charged Off,10.0,,0
1957991,20000,6.03,82800.0,Fully Paid,16.0,,0
1510694,5000,10.42,70000.0,Fully Paid,10.0,0.0,0
45379,18000,19.92,36000.0,Current,7.0,1.0,0
2037960,29000,11.99,220000.0,Fully Paid,15.0,,0
1064380,23200,13.33,110000.0,Current,25.0,,0
437709,17500,7.97,123000.0,Current,13.0,0.0,0
1167581,7200,9.99,60000.0,Fully Paid,7.0,,0
502407,3925,12.79,24000.0,Fully Paid,5.0,1.0,0
331078,20000,20.39,96000.0,Current,10.0,3.0,0
494306,8000,18.06,24000.0,Current,6.0,0.0,0
76512,22400,22.35,55000.0,Current,2.0,0.0,0
371422,30000,9.43,60000.0,Late (31-120 days),9.0,0.0,0
1076171,20000,12.29,140000.0,Fully Paid,16.0,,0
1321909,12850,21.99,37915.89,Fully Paid,9.0,,0
396207,10000,6.71,52000.0,Current,9.0,0.0,0
1994559,9600,9.17,42000.0,Charged Off,16.0,,0
2185209,16500,20.0,180000.0,Current,8.0,1.0,0
661703,10000,5.32,144000.0,Current,24.0,0.0,0
282077,10000,14.52,21000.0,Current,7.0,2.0,0
1837005,15000,14.09,85000.0,Charged Off,11.0,,0
949178,10000,7.89,72000.0,Fully Paid,9.0,0.0,0
1481797,25000,9.44,100000.0,Current,18.0,0.0,0
1836208,6000,11.14,65000.0,Fully Paid,18.0,,0
1740530,21200,16.78,47851.46,Fully Paid,4.0,,0
529364,30000,15.59,84000.0,Current,20.0,0.0,0
2173926,1800,6.72,125000.0,Fully Paid,0.0,0.0,0
274816,35000,10.07,22880.0,Current,9.0,0.0,0
1134703,24000,8.18,97500.0,Fully Paid,20.0,,0
1549126,8000,9.44,58000.0,Current,16.0,0.0,0
2222533,18200,20.0,46000.0,Fully Paid,14.0,2.0,0
845232,13375,11.39,50000.0,Current,11.0,0.0,0
1871825,7000,8.19,42500.0,Fully Paid,6.0,,0
1533912,2000,10.91,50000.0,Fully Paid,15.0,2.0,0
518786,6000,13.99,55000.0,Current,12.0,0.0,0
796272,18000,16.59,52500.0,Fully Paid,8.0,1.0,0
2149836,28000,19.03,120000.0,Current,9.0,3.0,0
714983,5000,8.39,22620.0,Charged Off,11.0,0.0,0
1908747,10000,10.99,119564.0,Fully Paid,6.0,,0
700486,4800,8.39,40000.0,Charged Off,10.0,1.0,0
1953744,23000,25.57,88000.0,Current,7.0,,0
2191798,15000,7.97,80000.0,Fully Paid,21.0,0.0,0
2037198,8425,15.31,40000.0,Fully Paid,12.0,,0
1234560,35000,8.18,95000.0,Fully Paid,15.0,,0
1474478,10000,11.99,89000.0,Current,9.0,0.0,0
1405780,4000,19.99,40000.0,Charged Off,5.0,1.0,0
344962,10000,10.9,30000.0,Fully Paid,9.0,1.0,0
595128,3600,14.49,55000.0,Fully Paid,10.0,0.0,0
534577,8425,13.49,40000.0,Current,8.0,0.0,0
2058390,25000,14.64,93000.0,Fully Paid,11.0,,0
916441,12275,11.49,90000.0,Fully Paid,22.0,1.0,0
1595717,6500,5.32,75000.0,Current,22.0,1.0,0
1622062,20000,9.93,48900.0,Current,12.0,0.0,0
1606045,20000,9.93,110000.0,Current,14.0,0.0,0
1512675,13200,11.99,53000.0,Current,5.0,0.0,0
1452436,32000,19.03,80000.0,Current,13.0,1.0,0
387703,40000,14.07,125000.0,Current,13.0,0.0,0
939034,20000,10.64,82000.0,Charged Off,14.0,2.0,0
1930635,6000,7.69,40000.0,Fully Paid,10.0,,0
984457,25300,12.59,55000.0,Charged Off,6.0,,0
1575892,10000,10.42,57500.0,Current,21.0,1.0,0
1522863,16000,10.91,135179.0,Fully Paid,11.0,2.0,0
460401,5050,14.08,98000.0,Fully Paid,12.0,1.0,0
1994564,17600,8.39,70000.0,Fully Paid,12.0,,0
379278,16000,6.71,35360.0,Current,5.0,0.0,0
1190535,7425,15.61,35000.0,Charged Off,18.0,,0
690160,14500,15.31,33000.0,Fully Paid,6.0,0.0,0
388952,15000,13.58,36000.0,Current,10.0,0.0,0
1703999,10000,7.9,60000.0,Fully Paid,9.0,,0
133806,5000,10.08,195000.0,Fully Paid,9.0,2.0,0
1337749,10000,12.39,47000.0,Current,13.0,,0
988729,24000,14.33,65000.0,Charged Off,16.0,,0
1132110,24350,15.61,70000.0,Fully Paid,13.0,,0
593259,6475,9.49,93000.0,Current,6.0,0.0,0
1540199,20000,16.02,26000.0,Current,14.0,1.0,0
528028,15000,9.49,94000.0,Current,9.0,0.0,0
614060,28000,14.46,117500.0,Current,11.0,0.0,0
1439072,25000,6.99,75000.0,Fully Paid,7.0,0.0,0
714654,14400,7.39,53000.0,Current,19.0,0.0,0
848543,12000,30.94,47500.0,Fully Paid,28.0,2.0,0
1892856,1800,13.66,25000.0,Charged Off,9.0,,0
1384738,12000,11.49,42000.0,Current,12.0,0.0,0
996331,25000,17.86,66989.0,Current,9.0,,0
965545,11500,24.99,32000.0,Charged Off,8.0,,0
1462545,15000,12.62,79800.0,Fully Paid,19.0,1.0,0
1447846,24000,10.42,65000.0,Current,4.0,0.0,0
153477,2000,14.47,53000.0,Current,10.0,3.0,0
1028908,6000,7.89,46000.0,Charged Off,9.0,,0
2106148,20000,7.9,140000.0,Fully Paid,5.0,,0
1722074,16750,11.99,90000.0,Fully Paid,6.0,,0
2114381,5650,12.99,58000.0,Fully Paid,13.0,,0
1345707,9000,12.39,96400.0,Fully Paid,12.0,,0
584529,11200,8.99,64000.0,Current,14.0,1.0,0
1907104,9175,15.61,70000.0,Fully Paid,6.0,,0
917790,8000,13.99,63000.0,Fully Paid,14.0,1.0,0
442203,32200,6.08,100000.0,Current,15.0,0.0,0
2238057,40000,13.59,120000.0,Current,11.0,0.0,0
747103,5000,8.39,150000.0,Fully Paid,13.0,2.0,0
1910060,5000,14.99,29000.0,Charged Off,7.0,,0
1340731,8500,13.66,60000.0,Fully Paid,7.0,,0
99757,5000,7.84,32988.0,Current,7.0,0.0,0
959697,23100,18.2,100000.0,Fully Paid,15.0,,0
733312,40000,6.49,210000.0,Fully Paid,16.0,0.0,0
2198791,22400,20.0,50000.0,Fully Paid,9.0,1.0,0
1462149,4200,24.85,54000.0,Late (31-120 days),7.0,2.0,0
389500,13000,13.58,33786.0,Current,14.0,1.0,0
287455,8500,12.13,73000.0,Current,21.0,2.0,0
1697872,14675,13.67,85000.0,Charged Off,17.0,,0
1508009,15000,14.08,58000.0,Current,15.0,1.0,0
2164197,8000,11.99,77000.0,Current,12.0,0.0,0
126837,20000,14.47,125000.0,Current,14.0,0.0,0
1333291,25000,12.99,60000.0,Charged Off,8.0,,0
1377106,7200,15.99,20000.0,Fully Paid,9.0,0.0,0
30817,7000,6.46,150000.0,Current,7.0,0.0,0
370072,12000,10.41,65000.0,Current,10.0,0.0,0
1472491,11500,30.79,32000.0,Fully Paid,9.0,0.0,0
535263,12000,13.99,42000.0,Current,12.0,1.0,0
865819,10000,10.49,29000.0,Fully Paid,6.0,0.0,0
1622071,15000,16.02,73000.0,Current,12.0,3.0,0
1049672,6000,7.26,80000.0,Fully Paid,9.0,,0
1496204,17000,9.93,75000.0,Fully Paid,13.0,0.0,0
1826720,9325,12.12,27300.0,Charged Off,6.0,,0
578631,39475,10.49,164000.0,Fully Paid,20.0,0.0,0
1577476,31800,9.93,170000.0,Current,18.0,0.0,0
1380072,8000,5.32,160000.0,Fully Paid,16.0,0.0,0
1482579,20000,18.06,60000.0,Current,11.0,2.0,0
812907,18000,9.17,80000.0,Fully Paid,12.0,4.0,0
1418700,15000,7.49,45000.0,Current,8.0,0.0,0
1329917,12000,14.31,26400.0,Fully Paid,10.0,,0
1565768,8000,19.03,73000.0,Current,3.0,0.0,0
1538238,21000,9.44,100000.0,Current,13.0,1.0,0
338875,8000,12.61,105000.0,Current,12.0,0.0,0
81066,16000,14.47,58000.0,Current,10.0,0.0,0
320337,5000,5.31,80000.0,Fully Paid,6.0,0.0,0
497480,20000,10.49,55000.0,Fully Paid,9.0,0.0,0
2048856,4850,13.65,40000.0,Fully Paid,10.0,,0
525786,5000,16.99,147000.0,Fully Paid,9.0,1.0,0
1188000,8275,19.19,77000.0,Charged Off,10.0,,0
1929970,16000,6.49,80000.0,Fully Paid,8.0,,0
271398,17000,19.42,53000.0,Charged Off,14.0,1.0,0
202380,10000,12.73,85000.0,In Grace Period,14.0,0.0,0
1841754,6850,13.11,25900.0,Fully Paid,12.0,,0
1578631,6800,10.42,70000.0,Current,9.0,1.0,0
551157,10000,10.49,80000.0,Fully Paid,13.0,2.0,0
1092500,35000,13.33,150000.0,Fully Paid,13.0,,0
1333802,17000,20.99,56000.0,Charged Off,15.0,,0
1196346,15500,15.61,50000.0,Charged Off,15.0,,0
1886458,3000,7.49,22000.0,Fully Paid,4.0,,0
1546616,20000,11.99,160000.0,Current,6.0,1.0,0
2156516,10000,15.05,45000.0,Current,2.0,1.0,0
2030594,11000,12.49,71720.0,Charged Off,26.0,,0
1669312,14400,13.99,50000.0,Fully Paid,7.0,0.0,0
2225696,35000,9.93,92000.0,Charged Off,17.0,0.0,0
308807,8000,10.56,120000.0,Current,6.0,1.0,0
1568719,20000,15.05,65000.0,Charged Off,9.0,1.0,0
1295670,15000,20.49,100000.0,Charged Off,15.0,,0
799778,10000,9.17,80000.0,Fully Paid,12.0,1.0,0
1426467,2000,11.39,167000.0,Current,8.0,0.0,0
2118092,30000,16.02,70000.0,Fully Paid,14.0,,0
230896,12000,10.47,349000.0,Current,15.0,0.0,0
330018,5000,12.13,85000.0,Current,13.0,0.0,0
628869,15000,11.99,90000.0,Fully Paid,11.0,1.0,0
2029320,20000,11.99,72000.0,Fully Paid,10.0,,0
2031560,14000,18.25,60000.0,Fully Paid,8.0,,0
501057,27200,13.99,100000.0,Current,10.0,0.0,0
1427600,25000,24.74,120000.0,Current,4.0,1.0,0
1200656,18200,17.86,72000.0,Current,8.0,,0
286254,12000,15.49,72605.0,Current,7.0,0.0,0
451848,12000,19.03,28000.0,Current,7.0,1.0,0
844763,4000,13.49,45000.0,Current,9.0,0.0,0
1912459,7500,8.39,65000.0,Fully Paid,16.0,,0
1026418,23750,19.99,56580.0,Current,16.0,,0
2134170,15000,12.87,40000.0,Fully Paid,12.0,,0
1472440,13000,10.91,45000.0,Current,12.0,1.0,0
1607886,15000,19.03,84000.0,Charged Off,4.0,1.0,0
13729,30000,26.31,95000.0,Current,16.0,1.0,0
17891,12000,10.33,79000.0,Current,15.0,1.0,0
802481,18500,8.49,65000.0,Fully Paid,9.0,3.0,0
1828379,10000,16.29,60000.0,Charged Off,7.0,,0
1560275,15000,19.03,87000.0,Fully Paid,3.0,0.0,0
1408055,13000,11.44,65000.0,Fully Paid,4.0,0.0,0
76098,10000,14.47,42000.0,Current,8.0,1.0,0
962739,15000,9.17,55000.0,Fully Paid,2.0,,0
1988678,4900,20.2,120000.0,Fully Paid,12.0,,0
148887,5600,15.02,32000.0,Current,10.0,1.0,0
1067386,10000,9.17,71500.0,Fully Paid,9.0,,0
128742,35000,11.55,150000.0,Current,18.0,0.0,0
1698620,15000,9.67,48360.0,Fully Paid,12.0,,0
509110,6000,10.99,50000.0,Fully Paid,10.0,0.0,0
690595,35000,20.75,100000.0,Charged Off,12.0,2.0,0
481622,20000,21.45,60000.0,Charged Off,18.0,2.0,0
1866910,22800,12.99,62000.0,Fully Paid,11.0,,0
1405612,3200,11.49,95000.0,Current,11.0,0.0,0
997139,18000,19.99,65000.0,Late (31-120 days),8.0,,0
930269,19000,10.78,155000.0,Fully Paid,7.0,1.0,0
1779747,21850,23.63,50000.0,Charged Off,13.0,,0
1945719,22000,6.49,175000.0,Fully Paid,9.0,,0
2107926,14400,17.99,74000.0,Fully Paid,7.0,,0
2198739,5600,10.42,37000.0,Fully Paid,3.0,0.0,0
732088,10000,19.53,58905.0,Fully Paid,7.0,2.0,0
1624474,4000,9.93,120000.0,Current,7.0,0.0,0
680205,7000,12.99,45000.0,Charged Off,7.0,1.0,0
1658559,20000,5.32,86400.0,Current,12.0,0.0,0
1562574,5000,12.62,48000.0,Fully Paid,22.0,1.0,0
1864662,12000,14.99,60000.0,Fully Paid,11.0,,0
1069815,16000,6.24,80000.0,Fully Paid,15.0,,0
551186,24000,12.79,79360.0,Fully Paid,9.0,0.0,0
138628,20000,10.47,108000.0,Current,8.0,1.0,0
655498,20000,10.75,65000.0,Charged Off,9.0,0.0,0
382198,40000,16.01,118000.0,Current,28.0,0.0,0
1650937,8000,13.49,110000.0,Fully Paid,11.0,0.0,0
1208341,8000,11.53,40000.0,Fully Paid,21.0,,0
1887163,12000,14.31,48000.0,Fully Paid,6.0,,0
1067089,12000,19.19,55000.0,Current,10.0,,0
582004,10000,8.59,45000.0,Current,13.0,0.0,0
1451843,10000,11.99,26500.0,Current,10.0,1.0,0
1902913,20000,15.61,83000.0,Charged Off,13.0,,0
1640720,10000,17.99,55000.0,Charged Off,10.0,0.0,0
1686748,22000,19.2,61000.0,Fully Paid,5.0,,0
2102643,2600,6.03,50000.0,Fully Paid,11.0,,0
841791,4200,17.99,35000.0,Fully Paid,5.0,0.0,0
1342919,16000,14.31,70000.0,Charged Off,20.0,,0
1440459,9600,7.99,72000.0,Current,11.0,0.0,0
1041836,8000,7.26,44000.0,Fully Paid,12.0,,0
339181,1500,19.42,40200.0,Current,7.0,0.0,0
1186093,12000,13.33,54000.0,Current,16.0,,0
1963342,5500,7.12,49000.0,Fully Paid,6.0,,0
1996479,5000,10.99,43000.0,Fully Paid,7.0,,0
2128694,23000,16.82,132000.0,Fully Paid,11.0,,0
275927,25000,6.83,90500.0,Current,11.0,0.0,0
1439927,12000,15.99,78000.0,In Grace Period,10.0,2.0,0
806976,7200,16.59,200000.0,Fully Paid,8.0,1.0,0
1227486,7050,9.99,58200.0,Fully Paid,7.0,,0
444978,6000,15.05,25000.0,Fully Paid,9.0,1.0,0
1634506,40000,5.32,217000.0,Current,11.0,0.0,0
1786892,21000,6.03,90000.0,Fully Paid,18.0,,0
491480,12000,9.93,109000.0,Current,10.0,1.0,0
301022,9000,8.08,125000.0,Current,10.0,1.0,0
576794,14000,15.59,75000.0,Current,12.0,1.0,0
601716,8000,14.49,86000.0,Current,13.0,1.0,0
275463,8400,10.07,60000.0,Current,5.0,0.0,0
2205860,18000,17.09,50000.0,Current,10.0,0.0,0
1156631,4150,14.65,45792.0,Fully Paid,14.0,,0
2085838,5100,13.53,41000.0,Fully Paid,9.0,,0
1379155,7000,23.99,80000.0,Fully Paid,16.0,1.0,0
1446711,8000,13.49,95000.0,Fully Paid,9.0,1.0,0
878582,1000,13.49,40000.0,Fully Paid,6.0,3.0,0
527598,5400,9.49,55000.0,Fully Paid,21.0,4.0,0
1510994,4000,16.02,99000.0,Current,9.0,1.0,0
267398,35000,9.58,75000.0,Fully Paid,14.0,0.0,0
1387522,8400,11.44,56000.0,Current,7.0,0.0,0
1547601,12000,12.62,56000.0,Current,7.0,0.0,0
1606052,2000,9.44,21840.0,Current,7.0,2.0,0
77767,38000,10.08,215000.0,Current,31.0,2.0,0
1888244,18000,11.44,75000.0,Fully Paid,23.0,,0
956383,25000,5.32,185000.0,Fully Paid,13.0,,0
640514,14000,7.39,78000.0,Fully Paid,4.0,0.0,0
880110,5000,7.49,40000.0,Fully Paid,10.0,1.0,0
1752209,30000,15.22,100000.0,Charged Off,22.0,,0
311862,18000,10.56,80000.0,Current,10.0,2.0,0
244924,25000,16.14,77500.0,Late (16-30 days),8.0,1.0,0
1254964,31450,17.86,63000.0,Late (16-30 days),19.0,,0
2036709,8650,16.59,66000.0,Fully Paid,13.0,,0
991396,35000,9.99,90000.0,Fully Paid,12.0,,0
1246225,6000,6.92,17000.0,Fully Paid,9.0,,0
987819,10000,11.49,45000.0,Fully Paid,6.0,,0
777217,6025,10.75,17452.8,Fully Paid,8.0,0.0,0
1859227,6000,7.62,85000.0,Fully Paid,6.0,,0
423736,12000,11.98,35000.0,Fully Paid,28.0,0.0,0
1819101,18000,13.11,49500.0,Charged Off,10.0,,0
882453,4500,16.99,15000.0,Fully Paid,4.0,0.0,0
729960,32000,11.47,210000.0,Fully Paid,14.0,0.0,0
424167,10000,17.47,94000.0,Current,21.0,1.0,0
1453867,7225,22.91,89000.0,Current,19.0,3.0,0
732433,20000,9.75,50000.0,Current,6.0,0.0,0
1102849,15200,13.33,38000.0,Fully Paid,4.0,,0
272711,10000,14.52,55000.0,Current,4.0,2.0,0
1865204,20000,8.67,60000.0,Fully Paid,11.0,,0
1199515,15000,17.86,70000.0,Current,9.0,,0
799813,6000,8.49,73000.0,Fully Paid,13.0,2.0,0
326103,5000,7.46,60000.0,Current,16.0,0.0,0
762893,4000,12.99,55000.0,Fully Paid,9.0,1.0,0
1385905,10000,12.74,70000.0,Current,24.0,1.0,0
1889574,15000,12.99,65000.0,Charged Off,8.0,,0
1077612,21000,11.53,96000.0,Fully Paid,19.0,,0
635029,20000,9.75,108000.0,Fully Paid,12.0,1.0,0
28387,8500,8.19,55000.0,Current,16.0,2.0,0
562736,18000,7.59,85000.0,Current,14.0,1.0,0
558855,12000,9.49,39000.0,Fully Paid,9.0,0.0,0
868346,3600,11.44,33000.0,Fully Paid,8.0,0.0,0
1209858,3000,12.29,38000.0,Fully Paid,6.0,,0
2224954,8500,5.32,70000.0,Current,18.0,1.0,0
2030442,12000,7.9,123000.0,Fully Paid,10.0,,0
1915103,8000,14.49,150000.0,Charged Off,19.0,,0
658924,7425,15.31,75000.0,Charged Off,31.0,0.0,0
463941,3500,17.09,3600.0,Fully Paid,5.0,1.0,0
1249269,13050,23.99,32000.0,Charged Off,10.0,,0
44816,10500,6.46,110000.0,Current,6.0,0.0,0
633705,7500,7.39,54000.0,Fully Paid,16.0,1.0,0
1048843,24000,13.99,118000.0,Current,14.0,,0
873226,20400,11.44,120000.0,Fully Paid,15.0,2.0,0
3985,16800,6.46,108000.0,Current,17.0,0.0,0
1422577,35000,11.49,160000.0,Fully Paid,9.0,3.0,0
814667,20000,9.17,160000.0,Fully Paid,3.0,0.0,0
615047,15600,11.47,68500.0,Current,14.0,2.0,0
1545055,1500,22.91,83700.0,Fully Paid,8.0,3.0,0
593216,9600,9.49,65000.0,Fully Paid,11.0,0.0,0
1911680,5600,9.17,55000.0,Fully Paid,9.0,,0
522947,40000,17.99,120000.0,Fully Paid,13.0,0.0,0
702621,8400,19.99,33000.0,Current,4.0,0.0,0
1772878,14400,14.09,45000.0,Fully Paid,6.0,,0
431985,35000,16.02,45000.0,Charged Off,7.0,0.0,0
90177,12000,6.67,91000.0,Current,10.0,3.0,0
220549,3000,7.84,90000.0,Fully Paid,14.0,1.0,0
576130,24000,22.39,89926.0,Current,29.0,1.0,0
972375,6000,8.18,83200.0,Fully Paid,5.0,,0
281804,32825,22.9,130000.0,Current,13.0,1.0,0
1846718,12000,9.76,140000.0,Fully Paid,10.0,,0
344588,5000,7.34,32000.0,Current,5.0,1.0,0
1574567,10500,7.07,85000.0,Current,13.0,1.0,0
975130,25000,11.49,75000.0,Fully Paid,24.0,,0
892284,1000,11.39,55000.0,Current,18.0,1.0,0
1386890,5000,11.39,40000.0,Fully Paid,10.0,0.0,0
179331,40000,7.84,50000.0,Current,14.0,0.0,0
780144,10000,9.75,85000.0,Fully Paid,7.0,0.0,0
1778563,12000,13.11,85000.0,Fully Paid,10.0,,0
880513,12000,7.49,60000.0,Fully Paid,21.0,0.0,0
197931,8400,7.84,70000.0,Current,11.0,3.0,0
1697699,30000,18.55,78000.0,Charged Off,10.0,,0
1198987,17400,22.99,49419.0,Fully Paid,14.0,,0
1286237,7800,6.92,45000.0,Fully Paid,11.0,,0
2056723,3600,10.99,27000.0,Fully Paid,6.0,,0
1115453,23700,10.99,55000.0,Fully Paid,15.0,,0
1518164,1000,18.06,40000.0,Current,25.0,0.0,0
104057,24000,17.97,80000.0,Current,10.0,0.0,0
72527,10000,8.19,35000.0,Current,13.0,0.0,0
1477979,10500,12.62,18000.0,Current,3.0,0.0,0
676463,12000,5.32,88000.0,Current,9.0,0.0,0
1257086,6000,15.61,96000.0,Fully Paid,13.0,,0
1717194,14575,23.7,80559.0,Charged Off,4.0,,0
2246979,35000,7.21,118000.0,Current,14.0,1.0,0
2059684,12000,12.49,48200.0,Fully Paid,30.0,,0
1605543,15000,16.02,85000.0,Charged Off,21.0,2.0,0
1823025,24925,19.72,56000.0,Fully Paid,14.0,,0
1008212,30000,14.33,78000.0,Current,17.0,,0
2171101,15000,19.03,90000.0,Current,12.0,2.0,0
667905,15000,13.67,120000.0,Current,14.0,3.0,0
2228831,8000,25.82,50000.0,Current,12.0,1.0,0
2071910,8000,8.9,38000.0,Fully Paid,18.0,,0
310792,20000,10.07,100000.0,Current,13.0,0.0,0
125293,15000,7.84,400000.0,Current,24.0,2.0,0
503420,18000,10.49,57000.0,Current,7.0,0.0,0
608033,10000,11.47,65000.0,Fully Paid,4.0,1.0,0
878961,12000,13.49,60000.0,Current,23.0,1.0,0
344607,12800,7.34,50000.0,Current,6.0,0.0,0
80043,8500,7.84,55000.0,Current,17.0,0.0,0
1213842,10000,6.92,80000.0,Fully Paid,13.0,,0
1247292,5000,15.61,65000.0,Fully Paid,11.0,,0
1425815,15000,14.99,30000.0,Current,13.0,0.0,0
1497384,12000,15.05,60000.0,Fully Paid,4.0,2.0,0
714337,4000,5.32,50000.0,Charged Off,28.0,1.0,0
1398988,20000,16.99,34800.0,Fully Paid,8.0,0.0,0
77465,5000,14.47,27000.0,Current,5.0,0.0,0
2098063,15000,14.98,64384.76,Fully Paid,5.0,,0
966388,5000,8.38,80000.0,Fully Paid,5.0,,0
784361,13950,14.46,33228.0,Fully Paid,21.0,1.0,0
592650,9000,11.49,65000.0,Charged Off,11.0,0.0,0
586492,22000,14.49,85000.0,Fully Paid,14.0,1.0,0
2205522,21900,7.35,117000.0,Current,6.0,1.0,0
2256702,29375,9.93,65000.0,Current,9.0,0.0,0
939131,15000,6.24,90000.0,Fully Paid,5.0,0.0,0
1375862,6000,11.39,54000.0,Fully Paid,16.0,1.0,0
1390104,5600,8.24,86000.0,Current,14.0,0.0,0
6989,1000,30.79,26000.0,Current,5.0,3.0,0
1171518,35000,13.33,135000.0,Fully Paid,7.0,,0
1660196,5000,11.44,55000.0,Fully Paid,10.0,2.0,0
1373477,24000,13.49,85000.0,Current,6.0,0.0,0
739660,5000,9.75,33000.0,Current,6.0,1.0,0
970650,25000,16.55,110000.0,Charged Off,8.0,,0
1145576,30000,7.89,100000.0,Fully Paid,24.0,,0
2193975,5000,6.72,39000.0,Fully Paid,7.0,0.0,0
341818,7500,7.96,134000.0,Current,15.0,2.0,0
493534,10000,17.09,120000.0,Charged Off,17.0,1.0,0
1530773,20000,16.02,75000.0,Current,21.0,1.0,0
1914303,35000,10.99,417000.0,Fully Paid,22.0,,0
201794,5500,15.02,81543.0,Current,12.0,0.0,0
341114,30000,5.31,85000.0,Current,27.0,0.0,0
175779,20000,10.47,62400.0,Current,13.0,1.0,0
1634362,10000,10.42,57000.0,Current,13.0,0.0,0
1493413,25000,10.42,85000.0,Current,10.0,0.0,0
814726,8500,7.91,130000.0,Charged Off,18.0,2.0,0
2216734,4000,7.35,120000.0,Fully Paid,11.0,0.0,0
1126717,12600,21.99,50000.0,Charged Off,8.0,,0
1484630,20000,13.59,140000.0,Current,18.0,1.0,0
576153,15000,18.99,45000.0,Fully Paid,21.0,0.0,0
1487940,32000,16.02,127000.0,Fully Paid,9.0,0.0,0
7376,10000,10.72,80000.0,Current,12.0,1.0,0
960621,23000,12.59,50000.0,Charged Off,10.0,,0
469150,5000,7.35,83000.0,Current,20.0,0.0,0
2037949,24000,14.16,53200.0,Fully Paid,13.0,,0
2191386,20000,10.42,52000.0,Current,26.0,0.0,0
458109,9000,15.05,260000.0,Fully Paid,15.0,0.0,0
1081649,6400,9.17,83000.0,Fully Paid,6.0,,0
2171499,10000,20.0,31000.0,Current,6.0,1.0,0
224403,3000,18.45,36566.0,Current,10.0,1.0,0
2052344,25000,13.65,260000.0,Fully Paid,15.0,,0
2231491,10000,9.93,33330.44,Current,4.0,0.0,0
1898464,14000,6.03,90000.0,Fully Paid,10.0,,0
